Dataset 0,,Dataset 1,
X,Y,X,Y
-20.73182552504039,0.000051794746792312335,-21.424669243347708,0.00004859996367971623
-20.231017770597738,0.00010657363271637503,-20.92262524156385,0.00015615230060005126
-19.73021001615509,0.0005124805876960916,-20.420395421436005,0.0005578838364614396
-19.22940226171244,0.0008002502278161028,-19.919392002378476,0.0009894451067616091
-18.736672051696285,0.0014808358247838207,-19.418239928645757,0.0019103194204792833
-18.22778675282714,0.0035349811050301165,,
-17.735056542810984,0.003930701333582677,,
-17.234248788368337,0.005759286237751602,,
