$\log B$,$\eta$
6.680272530870635,1.4805945389787318
7.009288109255433,1.046705768056762
5.565926018708096,2.064180939478155
6.634097830820595,1.2368637781081964
5.079166567378469,2.4389060153052213
5.496333515977415,1.7002088523643233
5.941525145419317,2.3976073656516315
6.473217563366703,1.295975030585525
4.919168823913402,2.5851230623505734
6.669095263002719,1.326166004023126
5.538226852994418,2.158981176826552
5.390783709008774,2.228706061026216
6.576250375773058,1.4652034390806818
6.335619033988479,1.4573428456366686
6.209832540290355,1.5760901618809593
6.914201691908361,1.1396007254386964
6.535398851190978,1.351547737168721
6.221020689642008,1.462139595392712
6.710062807491065,1.2419244090706925
5.329495113398284,2.1241705677343634
6.676992021753941,1.3159718695712719
6.100255576112835,1.8466310400489816
5.930830267886396,1.859058591544691
6.19592436843229,1.5398880153438752
6.552966350472019,1.4218510873995678
4.471556102476686,2.5251941459490217
6.249884321339702,1.553376233095376
5.091714250420382,2.4928176733868943
5.226569684671663,2.234387688775274
7.146281646602496,1.2311741661328306
5.343461164609182,2.1617853574671653
6.300876579019775,1.3789327441292383
5.824833403797806,2.09045191236543
6.863273014975576,1.1286124147267436
5.104080850307694,2.68317267583472
6.19606724740167,1.4459957664288234
6.799181356914348,1.134868792113556
6.585371304941819,1.309192854046554
4.446022966238013,2.3157903263095765
4.927531925965322,2.979735195339422
4.969192973404917,2.539893199742542
6.641112587994032,1.4105220533117782
6.745065385316703,1.2386334580499703
6.587523890431902,1.2464478317314038
6.098344881432388,1.845335930937432
5.7677271601191356,1.640040850104835
6.348242929348447,1.3830444158225883
5.951829554743401,1.8890305395169433
6.358112216368168,1.4112150799914054
6.802964314369118,1.4202158920907821
5.075524415671749,2.5331928955279137
5.702298245643182,2.0334655545122664
7.1269832938511914,0.9973876205611707
5.340649858233975,2.401675022681036
4.735262296651298,2.1407741603507415
4.821552655908842,2.408869458920733
6.08548931344375,1.5699946356450183
6.676711801442597,1.2123196756368366
6.400565772662726,1.5907894074011857
5.625991374390131,1.7973135305265586
5.9979023029661,1.710010647429538
5.671536506674437,1.7038749068966064
5.540081671055622,2.245895744254768
6.411443180588805,1.5274351248745426
5.437675077585181,2.2406886320534687
6.105099616577296,1.6169226586382388
6.661049720234921,1.1856941589297003
6.309936063943039,1.3866009869532343
6.108899934038677,1.6870580622534517
5.84084173833468,2.180832538483143
6.236223103034669,1.7137991207363465
6.276429241668892,1.5348078492084392
5.690532499315737,2.1581314015275437
5.6007348641581265,2.1898425054255712
6.776091531219214,1.293272688479073
6.72447861138422,1.2600802849606243
6.785061480644248,1.429659840791901
