$\log B$,$\eta$
3.467308922269272,1.7748633940802558
4.610651874901439,1.3333878974694668
3.1876564563167378,1.8560812864808482
3.1235174389892846,1.7547485629964816
4.441022144419139,1.4314490408830651
3.9661921464623786,1.609777726112768
5.042653903832577,1.2762393771883653
3.2281299071728884,1.8269714749843788
4.342227726868996,1.4201084814160592
3.7083743555168067,1.6192501797887178
4.729676620196435,1.3496055168440944
4.660073781728122,1.330981190573181
5.058116231515992,1.2502030551623813
3.5840451036157552,1.6815637170632274
4.26072512333443,1.4276826256376365
4.6312843453611094,1.38616357925827
4.736884352759695,1.3666468042977797
5.2374377400449035,1.1711303435558165
4.639624469321035,1.3786423079397554
4.022017984675398,1.5102390676527586
4.413631030342945,1.4343681421262402
3.9408284934745477,1.6350341538382946
3.5773191786813596,1.630166671104846
4.182153534157858,1.539194754513665
4.141295466423218,1.47762771849618
3.772511164294412,1.5932762976555104
3.5739636128849503,1.647748359533268
3.119026776539487,1.8770158688128258
4.0507477726323184,1.7049275904518364
4.373439209848389,1.4705352883483347
4.944800087469789,1.2650663293627877
3.214827200652223,1.7663780059829894
3.182349463826068,1.821445547373718
3.880200395723351,1.6166832395396218
4.645760959441715,1.384214309179732
4.411153493885666,1.4857487590872758
4.597201275351434,1.3764254970404752
4.9280368827748715,1.2652375892349057
4.0135747135241875,1.54126870078305
4.291087743422673,1.453062378940975
3.766755893445688,1.663044636366618
4.202067214339076,1.6080405545804832
3.900464153179729,1.5435466957191935
3.5579202978019357,1.735601008184381
5.077077443314478,1.2539638090121648
4.280101419668997,1.4396779317269048
3.508281166115287,1.850949858952675
3.5178608450930167,1.717684329948087
4.7896432760512235,1.3451257878285658
3.039565661737999,1.8335875345936026
4.479931316095882,1.4183383925920217
4.446943936384022,1.41258890240316
4.356605614792977,1.4078321522203374
4.753166766309735,1.330543008586145
3.8086651969093754,1.67082899842028
4.232411240532255,1.4492783004760756
3.9394358428389458,1.5351713968156322
3.5443940776786955,1.6570474400484516
3.5427158602650852,1.6948768113158936
4.043311056800611,1.5673666880715798
4.802631906069088,1.2903228827631281
3.6492225835343257,1.6071864989657585
4.905879977434044,1.2563003327975604
5.080845645676615,1.2051095018005717
3.9842343860757743,1.5564848554273187
4.288347567795096,1.4688340990993622
3.7668329068164446,1.7040023771922068
3.325564915073576,1.7232809311761952
4.8794237652383075,1.2760952207999263
3.851772843073439,1.576545041651499
4.444242179557622,1.3580860736749518
4.5065466163238534,1.4076065610895672
3.7001548447864367,1.6502517449517031
3.8304392178363607,1.6083296456162355
4.287955177443794,1.4749830118571432
4.723660322864707,1.3237108339083445
4.0171783239681,1.5301080707055996
3.562717677755294,1.7028189047244837
3.53259119012686,1.7342320334485295
3.458183753732777,1.6986391014848545
4.713462130705546,1.3386501803186643
4.11729491484457,1.5141078432200854
4.248846816796693,1.45244255116486
5.544723819832415,1.0606997544354946
4.553908235991958,1.3685936713355367
4.089318504741976,1.550523707289523
4.14162986080384,1.4868993744284191
3.971284892873091,1.5246142346145741
3.4372038614967755,1.6875291748290622
3.086532858645426,1.8606462307987681
4.55953694669499,1.3325176812283834
3.6212507606947146,1.6427355173453535
4.362278121694949,1.4374256660401432
3.7594421293491687,1.5882967776761765
4.474638747143262,1.418425239338909
4.1122049092601145,1.4867719335876037
4.332010850806327,1.409825958780064
3.883912655646294,1.5563937223448296
5.349565511350509,1.1779132034330166
4.076806468235247,1.552530747703603
4.571908317666751,1.3520595831233113
4.191082495838299,1.5411210684798209
4.068531313743247,1.5073661032453711
3.934550648561532,1.5692989931899122
4.4438076475728066,1.4429027635641762
3.7797890112012524,1.6384733372407019
4.3170460502677175,1.4361055597668044
3.307920243117716,1.7931153445593924
4.836223450040206,1.3211850433439214
4.58475656717387,1.3169348284307234
3.582076190512553,1.671572441555019
3.944103229708647,1.5142944312356856
5.159725997942667,1.1952204908908177
4.295341889728404,1.4927456595116066
4.36079106412215,1.433621531296456
