$\log M_\mathrm{c}^\star$,$\log A_\star$,$\gamma_\star$,$\delta_\star$
12.289998909768068,-1.716629540118478,1.3812825732640268,0.4512804947556587
12.26991177540611,-1.7484130491767707,1.4239273623394406,0.4426782478057855
12.27556541396637,-1.6926699481712497,1.3795818390040337,0.4530509099430611
12.229346511512734,-1.7025431835697056,1.4840909223950431,0.46118619108840964
12.221061751180489,-1.6887273300935044,1.55390819419015,0.4584274749231865
12.279251807629294,-1.7131787725138334,1.426708625484349,0.4518172237979703
12.30616875971468,-1.7503947432808864,1.3753524303100757,0.46104367906838994
12.256700881533355,-1.7173824696812827,1.4380643785433038,0.4619888705832356
12.168504777322337,-1.7270286940442978,1.5672609329110763,0.4264014593825898
12.283545927514256,-1.6972347268803234,1.4146226230355619,0.4798300126685665
12.246874053407245,-1.7137854467772198,1.4532027248793897,0.46557758903456753
12.283813780098134,-1.726515737724603,1.4931779124379876,0.46302062149046147
12.169910577441,-1.7008588486110932,1.6299365831146357,0.430131215922807
12.227818003177521,-1.7100405837039836,1.4301838310724233,0.45823013558903336
12.175692991496785,-1.7357111372977445,1.520237921499843,0.400519906188911
12.221388274487506,-1.743947241174549,1.5204269381317292,0.44094801472761563
12.16783110155504,-1.728564753347099,1.5808491590752722,0.4024835535194309
12.201866673490423,-1.7229103776537205,1.5654847989158875,0.42433743516823286
12.302412347257203,-1.7676191626344375,1.3378476591127895,0.4286724257428481
12.222753176117049,-1.735456989907431,1.4860155109411437,0.44246709018626895
12.21610386398527,-1.7579177830985304,1.5683649167991556,0.4203916707471217
12.276230750386583,-1.6801363396728015,1.3816001679194845,0.4800808256731546
12.217790223868164,-1.6914246075050197,1.4966318637244949,0.4554665779938852
12.257327034314885,-1.7422821170900145,1.451278360728329,0.42146173360280326
12.277265703740918,-1.7537990134425934,1.408466793889408,0.43433289471062125
12.231818310987006,-1.7454622502201889,1.4193765571809658,0.4251719024173269
12.288999444239446,-1.6776808134901369,1.3888565289625363,0.4829219209501591
12.229943631827265,-1.7103137590664788,1.5661755619257363,0.45869999363692904
12.285806422768504,-1.6894229526766067,1.3616048233216729,0.4750793989018494
12.242087413355645,-1.7340738182579905,1.44678917315842,0.4294420706184968
12.195402323488118,-1.7062033404543935,1.575854121055266,0.44317091117040897
12.268477162879694,-1.7255774344657637,1.5325739756587098,0.4577441157063014
12.238784229582585,-1.7181991180814848,1.46731538471668,0.42907923586302854
12.184078437195753,-1.7355914104238477,1.612918120681922,0.4130473852282366
