log_mbh, log_phi
6.060998151571165,-2.984772467212394
6.171903881700555,-3.1131062406478307
6.273567467652495,-3.2069360091541244
6.430683918669131,-3.412551711997184
6.624768946395564,-3.643629322002705
6.804990757855823,-3.866240967904554
6.966728280961183,-4.028502612606125
7.119223659889094,-4.23418233030063
7.27634011090573,-4.387849981195638
7.438077634011091,-4.628033703819287
7.599815157116451,-4.868217426442936
7.747689463955638,-5.056645141672869
7.914048059149723,-5.279448832129055
8.057301293900185,-5.528546622816494
8.205175600739372,-5.742948364020454
8.329944547134936,-5.949012170823632
8.440850277264326,-6.155268022181147
8.570240295748615,-6.378583831448897
8.7181146025878,-6.705539685206969
8.810536044362292,-6.920709604628274
8.930683918669132,-7.170127469572941
9.00924214417745,-7.376831424890575
9.115526802218115,-7.583151291099536
9.198706099815158,-7.850397292171785
