$\log C$,$\theta$,$ \log \lambda_\mathrm{c}$,$\rho$
40.26043364529901,2.161702143699957,-2.3223239919241947,1.4232244832957237
39.74408091147948,2.359860254380559,-2.6043345501717825,1.4248717239962687
39.5540739850456,2.4197999944256683,-2.5271018791578075,1.4423118291190666
40.095697010543816,2.2222670562972597,-2.3565241618138852,1.4325744329357708
39.86790754462036,2.303064995832069,-2.4612353287797366,1.3923914456362547
39.97525014438077,2.2708837313058607,-2.4107764703499237,1.4520577386904825
40.11695014155201,2.2068470954820563,-2.3301025914520888,1.4196866765319665
40.381120224877925,2.1022598180539815,-2.1612499050171357,1.4415530069381957
39.054244859250744,2.6095788713815766,-2.733227245854892,1.4852501414417454
40.42040089170941,2.0877957108630394,-2.1011489823250766,1.4928765105966193
40.21831339129956,2.1807298227851177,-2.3441155869973147,1.4381199395086746
39.953725930803984,2.264855765396884,-2.344420923686129,1.4728659619227893
40.26064188846922,2.1592921241559537,-2.343060774336715,1.4247518116003133
40.68233009123155,1.9680943331956073,-1.841700707724343,1.461020215958969
39.69988181657407,2.365039240857676,-2.5784192327755604,1.4040484092202035
40.1933107862773,2.1856204532226386,-2.377884735658659,1.415945875677126
39.5171141004049,2.4379067857142696,-2.518851956833695,1.4568492924463694
39.12934968615987,2.573472601185058,-2.7355599530579218,1.4345470300264236
39.85161730461299,2.3050604247233304,-2.3257691945478842,1.4683003771357823
40.58613629119667,2.0145898946716874,-1.9637047640702394,1.4613739824629672
40.15463450311732,2.193465357054891,-2.25470710235704,1.4467388199458164
40.510254179445965,2.0525678073503757,-2.0356664854577415,1.4630749141439046
39.05677241520038,2.6082826517367024,-2.92578985498763,1.4235876705877013
39.83117481601183,2.3142415425194027,-2.395181040849203,1.4362734443821052
40.35054842235447,2.1189519366860874,-2.209422495954193,1.4363931729964892
40.436185962918486,2.076907278524348,-2.0820872289467416,1.4480033639531094
39.95417933836051,2.2704518345572686,-2.4490604359168486,1.4163160804554384
39.921908658913026,2.28283126550352,-2.418931467209921,1.4355287578950056
39.32150154303035,2.5082651206367736,-2.654257058518656,1.426233651965594
40.1511181586561,2.2120709321795613,-2.4926250479160776,1.4223953959903155
39.98547367067092,2.269796302639807,-2.4512658926951625,1.4459055224667323
39.669690568944986,2.3794257679629345,-2.63344886199469,1.3832402585237507
39.94512270673133,2.2759854448252295,-2.38700739637694,1.4382915382649264
40.383532022102585,2.10755030458264,-2.2166051648317655,1.4374397205255325
39.65231454741648,2.390486997051561,-2.6246468966654484,1.432866082437867
38.14001261325848,2.927625000735242,-3.180932232581108,1.4410896693698754
39.512958126840346,2.4347929002514794,-2.5246716967726384,1.439919832813934
40.02504115111766,2.2393117536409233,-2.2642861063482727,1.4457383313268404
38.95372902384567,2.645525813401673,-2.7836219012236807,1.4485657009137383
39.62828877134609,2.396703468009982,-2.470053323293922,1.453016117507434
39.54617838683906,2.4259499605755837,-2.582766735622678,1.4449177766510946
39.78286085164043,2.3373613357844008,-2.404385617478826,1.445378117089427
39.903087190013316,2.2897972021830895,-2.4321341613835674,1.418871243736375
40.30015962601696,2.143267151024949,-2.3207604132051705,1.4307437718774694
40.52252903268698,2.0445006648699184,-2.014826593931745,1.444701221850881
40.04459274000464,2.239743047793126,-2.3894236160440694,1.413978950197513
40.23721219007881,2.1663522844583296,-2.3305997023672003,1.4159353755424353
39.90315668757174,2.2911559487481594,-2.4449996698888983,1.4515397328143629
39.3707923288624,2.4850525072046943,-2.687521842673953,1.4092790878233326
40.421390277298826,2.0879347887378894,-2.1122807675465705,1.4483622317812606
