z5,
X,Y
-22.79808438038458,10.537421364276378
-22.79290052893335,10.534659229770652
-22.78771667748212,10.531897095264927
-22.78253282603089,10.529134960759201
-22.759203069873863,10.518090302138697
-22.754019218422634,10.51532816763297
-22.748835366971402,10.512566033127246
-22.743651515520174,10.50980389862152
-22.738467664068946,10.507041764115796
-22.43427625256677,9.996547275274338
-22.059957180312395,10.226411625815798
-21.936746170224815,9.93752511961717
-21.802726710712598,10.040330258903333
-21.79754285926137,10.037568124397609
-21.79235900781014,10.034805989891883
-21.787175156358913,10.032043855386158
-21.66303745266511,10.43085370152844
-21.63392936441934,9.4902871661956
-21.53432103443709,9.72305746776196
-21.501048055609978,10.266759338532076
-21.480669102407276,10.082748590893422
-21.44160438846007,9.286359966770918
-21.43318795825808,9.565295103150692
-21.400792674754218,9.967324427960229
-21.42382871156172,9.701439416994194
-21.398948572863933,10.112832124676048
-21.330733991502257,9.246626086144643
-21.265029592950352,10.37671274388013
-21.25662404368135,8.978038211596779
-21.165664691082785,9.177467180444886
-21.15996426553185,9.077727906859034
-21.13708672452908,11.631240206451952
-21.128741178355646,9.573727172778877
-21.123860386986305,9.553845439680082
-21.11662129561371,9.533082119044883
-21.07074378193474,10.192630003954335
-21.046976604364293,10.38664895788564
-21.04583247949771,9.360457876822425
-21.018004860622508,10.182734084679808
-21.013998135767103,9.326879062819538
-21.001551248705667,9.068006790855867
-20.995233330363558,9.934153972195112
-20.99625310264219,9.665908874594713
-20.98218922127973,9.978738950715226
-20.98373316701587,9.672972287374346
-20.92080097433621,10.187546479337485
-20.917536423323252,9.336811368253123
-20.91514064676768,9.256988339602783
-20.9019549702011,9.01831476396911
-20.875488538090284,9.16249752358561
-20.86760196730996,9.31199871604498
-20.859101424433575,10.381806159383014
-20.837482685928364,10.417595989200578
-20.852111366545742,9.178536534312272
-20.835980163459098,9.190024259806387
-20.823629895332328,8.346335176795645
-20.82050647561183,9.201600228121663
-20.809695874269195,10.251749445737884
-20.80680713384987,10.214091009071227
