Default Dataset,
X,Y
-23.18291779172469,9.055823997159026
-23.183303760908046,7.953074024462394
-23.182957196622656,8.070703134142725
-21.247379622337274,9.25119468670896
-21.205885828471782,9.195823786640293
-21.203269635098856,9.204144033654648
-21.200653441725926,9.212464280669002
-21.200760882932208,9.157024618228316
-21.171869942563408,9.306758980948931
-21.172117057337854,9.179247757335354
-21.16663755581755,9.323399474977641
-21.164021362444625,9.331719721991995
-21.161706004449282,9.184808914172427
-21.153674774279825,9.304017081364655
-21.15109081326878,9.295705429646805
-21.122672614207612,9.201505277628401
-21.12008865319657,9.19319362591055
-21.114920731174482,9.176570322474845
-21.08618558055479,9.245917174656467
-21.034408327708224,9.690320913967353
-21.06795817990932,9.259807173804397
-20.79773104535019,9.620926676543132
-20.810641862928076,9.213108927906685
-20.80106347938818,8.78901270082844
-20.777780969987216,8.728067750977946
-20.77516477661429,8.7363879979923
-20.77250560675885,8.766884109982929
-20.748997470824698,8.822362451257876
-20.749196237056317,8.719799075742607
-20.74376508407884,8.839002945286584
-20.741148890705915,8.847323192300937
-20.73877981210743,8.728132215701713
-20.722926862120758,8.858441208326834
-20.720342901109717,8.850129556608982
-20.689340741037505,8.747617752872728
-20.686756780026464,8.739306101154876
-20.686831988870857,8.700498337446396
-20.663264760273254,8.786468493063719
-20.549326446251197,8.487593860322669
-20.357743343380182,8.572209294901814
-20.322461253951825,8.886822877377863
-20.225904011831123,8.443748492995532
-20.200060752803005,9.189114126918906
-19.804791994297883,8.076042268337972
-19.428884666178902,8.071466997852848
-19.45292076931345,8.79262702300771
-19.32080286444657,9.230295334890528
-18.8210476950048,8.157699002992537
-18.348928994117607,8.157531468327521
-18.23172460310068,8.331746612367887
-17.974231730978588,9.451531103909321
-17.73945431591119,8.298184275421304
-17.66813004600535,8.024909327210448
-17.050813957946453,11.490602578963806
-19.584542842407725,8.385807501465504
-19.220376771019193,8.29550033794714
-19.16524814289238,8.741872451382058
-18.227693086338288,8.520281633293719
-18.8864657776468,8.593572918101472
-18.057598365040572,8.289157822915698
-20.104020449806043,8.335362083932614
-19.92578937084173,8.30259882951768
-19.801982196111847,8.187100990137068
-20.041139858863026,8.781747010529214
-20.97023822870853,9.366988170248478
-21.318868341560453,9.473849938656986
-20.963463269470402,8.862867137123253
-20.54453694835335,9.028848833521792
-16.91112470729934,7.869565217391304
-19.081273884534195,8.07258976420579
