Default Dataset,
X,Y
-23.199997127336893,9.049942991854792
-23.196192485894702,7.95156040893608
-23.196483495474677,8.068585846306869
-22.02266271099859,9.748312247784252
-21.771266803354482,10.333612104080009
-21.685732318402664,9.842786805935894
-21.51226007091204,9.331631202730676
-21.494928525274986,9.460693200016333
-21.471128203663255,10.006817236177422
-21.396680152566528,10.01157727094267
-21.185393821962617,9.605624698977973
-21.041481585403915,8.960482017867143
-21.011333879700125,9.22351502409737
-20.958126193278027,9.858651679256923
-20.929855764829206,8.906229331128733
-20.778870727662543,9.000306204552597
-20.8539990425205,9.737419664229364
-20.831676927693863,9.708101467261475
-20.814302188564387,9.721913942293448
-20.776302681942788,9.967986203872456
-20.802974395030148,9.714285165630043
-20.749309516941196,8.794224668223517
-20.72508094973894,8.817179868905964
-20.691541579638866,10.07210258372739
-20.653061046077067,8.623668941212252
-20.675669506832172,8.824389753413929
-20.655965719802428,8.793084253252959
-20.637593158465645,8.82233832174488
-20.61603650121847,8.844329618856765
-20.62031520561041,9.090008054380895
-20.61035559727945,9.571337769792313
-20.607159304707892,9.834522782319382
-20.57499232970003,9.176800233977797
-20.559986782989963,9.145216302414857
-20.531717777350533,9.834568125255212
-20.506625651341913,9.030822113057715
-20.47261267233353,9.45363454186339
-20.480390860047244,9.138159612191092
-20.45507504172789,9.081155009444558
-20.44750980230949,9.47203916545105
-20.452551797757465,9.150261375031484
-20.440420174310624,9.11058698505882
-20.42300132597935,9.491383841715928
-20.4165735535408,10.11725498067552
-20.412901467572098,9.879157701325411
-20.408181326807544,8.53475143012656
-20.433821664499963,9.341659585539803
-20.343371898476885,9.400185847871336
-20.278410034143366,8.901759151386655
-20.250703180508488,8.59646775203164
-20.22027370914406,8.59244651477082
-20.18983393507913,8.58790140855533
-20.184534872584184,8.711392329746376
-20.155757302467123,9.711066410897608
-20.143013482583964,8.656625828532043
-20.163966655060126,8.68388170189655
-20.172242562804534,9.298324703411131
-20.119887410764,8.540173197959492
-20.112388472711096,9.825022582356732
-20.093402291049994,8.757022163593973
-20.084229182102984,8.61281183937413
-20.074813165942693,8.470674204741403
-20.063949737194292,9.482790305249305
-20.05684820429496,8.81287941803929
-20.041752832911683,9.711154685208985
-20.066010099369407,8.777202464357153
-20.053259609117756,8.62192473490461
-20.023066765198507,8.631415121682993
-20.037932931675595,8.781556713085958
-20.0048490216165,8.475855256853778
-20.025902867250316,8.824364425744376
-20.018157816934426,8.801152668444086
-19.98726169509963,9.265531430092498
-19.984657694378285,9.413645462555376
-20.0146495846268,9.244723319909417
-19.969705656402592,9.194357202937196
-19.97499927316199,8.90793726226977
-19.936326147965424,8.432182742046766
-19.96565055426148,8.907574922374808
-19.959229374974953,8.927880043362153
-19.963257515296608,8.892769366449038
-19.95505473121093,8.880948792549031
-19.950350989174197,9.09532411703713
-19.95174118647275,8.922851406615324
-19.951279098024315,8.907052857301013
-19.954151058535167,8.89554419799497
-19.953776347807572,8.68570619054133
-19.933697276253177,9.10403324682927
-19.937816546881173,8.883926587710121
-19.94795600551906,9.070879236083936
-19.944335239853558,8.6833045906017
-19.91429703979011,9.944459778454597
-19.943989495251287,8.671915849684943
-19.91720453457168,8.660610309340926
-19.926830917875172,9.08566551861104
-19.905015672654155,9.664751202321769
-19.92852774733365,8.395835888158402
-19.89309966620076,9.522921590347629
-19.919625902351093,8.877649788590547
-19.899109372970496,9.358510611054454
-19.914559911922087,9.320803402743431
-19.906730001146247,8.67569369695995
-19.91378090804103,8.884561229352967
-19.90985877141205,8.874903553389615
-19.8806211577994,9.37897812814704
-19.878718355650904,9.33689371290103
-19.88385458647755,9.307340581601952
-19.899463013923423,8.884582923131932
-19.861877831886485,9.718847604006015
-19.861033272277886,9.82553847413993
-19.856634422971396,9.308742619545418
-19.883391016417722,9.691456676522845
-19.876943392235347,8.66511484997908
-19.762184777924524,8.580576424862798
-19.819760563042504,9.44381304596623
-19.814248266987345,9.66177842597003
-19.808806455129506,10.331902186699423
-19.689743082659536,9.284932389548967
-19.67086747174171,8.310473805060731
-19.67095926707126,8.245241630998528
-19.670834350698215,8.27772842204929
-19.661554530277925,8.417963739428155
-19.62823942533342,8.514105965488646
-19.642118260083052,8.464559413328848
-19.645427453543775,8.450302205444867
-19.62056607886884,8.482504880962328
-19.63076884819367,8.436017847626992
-19.628173542789476,8.414391081304966
-19.604978231386916,8.449797344187328
-19.59389544408925,9.106759458256068
-19.60181241976001,8.199270967366708
-19.608771572690713,8.408558463346145
-19.59555610597132,9.200371342956302
-19.588439161923453,8.363218767283792
-19.584787363125045,8.226060429720077
-19.567615794732685,8.252961700517867
-19.59555352977828,8.582257943421716
-19.577122257105593,8.639537530600336
-19.59068411796941,8.477798272028428
-19.582425690749368,8.42535114099765
-19.572848610769004,8.610677472651906
-19.591421213413824,8.404629757286557
-19.567917912855496,8.391249575500552
-19.588319989102537,8.490226506520642
-19.587570567647344,8.43500696432423
-19.56660003382961,9.211005180582951
-19.561351215778004,8.572338799082544
-19.548900650952184,8.494647118084263
-19.536254668498557,8.557656724553878
-19.554365286709874,8.427329747594761
-19.538936408011146,9.627482439501616
-19.557444499835547,8.597953609047742
-19.537290431999622,9.22100192067136
-19.554135125631355,8.354509770194651
-19.541540738812433,8.32929145826324
-19.548863905686325,8.641390142853602
-19.540489797638656,9.09974021262025
-19.551392801568458,8.676134550133197
-19.548694329659284,8.531702053661185
-19.517194713073984,8.661392106115642
-19.53864384548428,8.648980014865929
-19.534257479755137,8.407258273215048
-19.51294496048804,8.112240428100813
-19.50237980498826,8.411050426503072
-19.500082141543476,8.284108903469935
-19.511404985171623,9.094499273995517
-19.512461112750337,8.343752342598412
-19.517057045745425,8.308733752022757
-19.488476149039954,8.170924286413001
-19.49104438716151,8.671792861599489
-19.5206213660392,8.622646319410407
-19.500095000913674,8.141482875071569
-19.521670783633592,8.705688133130806
-19.517599091407195,8.369308340806343
-19.519094647381372,8.720877722730505
-19.49749366769183,8.379097630229126
-19.481190733546946,9.088731983571934
-19.498551501521256,8.697094931458086
-19.50405937943659,8.319170073292302
-19.473904449379578,8.234313970641939
-19.48453287688332,8.25827586204818
-19.4810873707421,8.345560202805919
-19.492601119819057,8.316978607184385
-19.465247390779698,8.360730669907202
-19.453304211160606,8.21612836173612
-19.42906812659869,8.19384600238304
-19.43247163270368,9.384562440933145
-19.436195305772756,9.217188959137978
-19.43276276108702,8.368337427088207
-19.42679533044176,8.914506880449157
-19.407144278543267,9.279405797249606
-19.42191837406183,9.24831669248335
-19.38889166309097,8.518796762717178
-19.382138638955084,9.183027758278284
-19.366297543910775,8.541444814316064
-19.353010020534295,9.191646851236346
-19.322590246057537,9.199286124178565
-19.31561398242003,9.767033416441954
-19.292820575467147,9.419534961255227
-19.272928866297693,8.229081620079855
-19.19781374977275,8.422490705606819
-19.237014098459582,9.717532665826575
-19.210327039458274,8.908659903844706
-19.19941560632717,8.84169037779256
-19.160200267571128,8.804906447696881
-19.151232867673365,8.818416404244982
-19.12188135174705,8.902805381576059
-19.103275815591466,8.876902828685363
-19.085471867166415,8.85064255925331
-19.09094296328659,8.234025989653524
-19.042002806460403,9.003226045341815
-19.035204508872226,9.534158061411187
-19.056149404245396,8.23563719130258
-19.021830237453173,8.239302896153255
-19.003049994996775,8.92393374120002
-18.996636959015856,8.438663352160875
-18.95047031717471,9.226654051990039
-18.941321062263583,8.816466718452906
-18.929890309583943,8.18954282770842
-18.909270836784103,8.284829992296086
-18.907651178671117,8.212107347538511
-18.901717932788983,8.251682699090576
-18.87684982805038,8.226041794130518
-18.794357875445794,9.554342799960345
-18.713101443672546,8.298950123597205
-18.644371411200726,10.000914436149385
-18.602151084074244,8.761414547303215
-18.579263785676943,8.676449352054119
-18.558202563223876,8.512763130497703
-18.57027285066142,8.758208772007668
-18.540072570110603,8.58728050785486
-18.538402265516908,8.755371079439357
-18.48430403198776,8.036663935482448
-18.40476288021197,8.473524834896025
-18.340981801406393,9.113412904136462
-18.27412815589384,8.00184196561315
-18.33286773921695,8.510230601531347
-18.311773400621885,9.327028917395932
-18.31391401333633,8.480718855717024
-18.212887537493735,8.969733539205016
-18.130351186968394,8.764239614386497
-18.014605138635893,7.799226567127129
-17.834566330915365,8.211258252847372
-17.773800529589103,8.78692762965985
-17.62180526749787,7.849726971266098
-17.580856860074984,8.529161557816451
-17.45275635205006,8.509595308951683
-17.195102721780298,7.666094018511957
-17.195242323757164,8.197238455928552
-17.063293232414644,7.746329815879164
-17.02802128128363,8.569710230782896
