Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
7.799031476997579,0.02551119489219834,7.75544794188862,0.00966727021159667,7.900726392251816,0.006132939836559442,7.508474576271186,0.005209539241813486,7.6440677966101696,0.0028017991367621556
8.200968523002421,0.01792104080525351,8.249394673123486,0.004491152363875843,8.404358353510895,0.0011248988575734424,8.249394673123486,0.0006580775441018334,8.249394673123486,0.00005189649865929229
8.602905569007264,0.004868998077152241,8.704600484261501,0.0015309797100415687,8.898305084745761,0.0004713292122455997,8.757869249394673,0.00010663489010829992,8.74818401937046,0.000028440027375586656
9,0.002960074352524309,9.106537530266344,0.0009307254598946923,9.353510895883776,0.00016744540081805342,9.498789346246973,0.00001725839488467329,,
9.397094430992736,0.0009103355677936524,9.498789346246973,0.0004066284033006325,9.750605326876514,0.0000937263707894666,,,,
9.803874092009686,0.0006264039271683056,9.89588377723971,0.0002276073532930072,10.14769975786925,0.00002344631490450716,,,,
10.200968523002421,0.00014132669902789543,10.302663438256658,0.00003468412389453038,,,,,,
10.602905569007262,0.000019829194554835976,,,,,,,,
