z,log10 L_bol [erg s^-1],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,41.80717734046684,-2.6839094419403144,0.12413845370309005,0.12413845370309005,Shen2020
0,42.092818592746475,-2.979080921249076,0.14678136941415265,0.14678136941415265,Shen2020
0,42.38350178107563,-3.325029803981141,0.21513834405257537,0.21513834405257537,Shen2020
0,42.679401995923676,-3.571648862729491,0.26587358434892683,0.26587358434892683,Shen2020
0,42.98059052582104,-3.741059603889738,0.26597521933280466,0.26597521933280466,Shen2020
0,43.287023221306136,-3.983699481067764,0.26742301893731013,0.26742301893731013,Shen2020
0,43.59853866035385,-4.079218761580796,0.23328218497788167,0.23328218497788167,Shen2020
0,43.91486722133352,-4.1162366133382,0.1664919047167437,0.1664919047167437,Shen2020
0,44.23565002492526,-4.402132865873123,0.1838410084423432,0.1838410084423432,Shen2020
0,44.560464737925585,-4.390394462601879,0.12371708484404319,0.12371708484404319,Shen2020
0,44.888854110764115,-4.5594366032653815,0.106015521451835,0.106015521451835,Shen2020
0,45.22035315059766,-4.896324238565616,0.09918388309934766,0.09918388309934766,Shen2020
0,45.55451183165563,-5.235334606056716,0.1005299204312917,0.1005299204312917,Shen2020
0,45.8909117110342,-5.67881728273102,0.1003036801103223,0.1003036801103223,Shen2020
0,46.229176220039236,-6.114280957815259,0.11771426661055372,0.11771426661055372,Shen2020
0,46.56897539943528,-6.778317350516393,0.1630988895558334,0.1630988895558334,Shen2020
0,46.910026350032865,-7.668658770960967,0.40402976952194636,0.40402976952194636,Shen2020
0,40.4437598757577,-1.2587911977606183,0.3834658728483584,0.3834658728483584,Shen2020
0,40.70902138091425,-1.6185638201782435,0.23486106952634145,0.23486106952634145,Shen2020
0,40.97761240726989,-1.895145326226174,0.174281961014483,0.174281961014483,Shen2020
0,41.24991716740588,-2.162157600046864,0.14736243314673003,0.14736243314673003,Shen2020
0,41.526317840847454,-2.4167301944718433,0.12101010210536421,0.12101010210536421,Shen2020
0,41.80717734046684,-2.644415202725722,0.10644204422084756,0.10644204422084756,Shen2020
0,42.092818592746475,-2.788321778410002,0.09398400479410006,0.09398400479410006,Shen2020
0,42.38350178107563,-2.9248451963086426,0.09377145465949564,0.09377145465949564,Shen2020
0,42.679401995923676,-3.1974730652451187,0.10662964209634772,0.10662964209634772,Shen2020
0,42.98059052582104,-3.4537063992401222,0.13400104668839585,0.13400104668839585,Shen2020
0,43.287023221306136,-3.6380823237002895,0.14790391537451186,0.14790391537451186,Shen2020
0,43.59853866035385,-3.8016175458119346,0.15152358642576913,0.15152358642576913,Shen2020
0,43.91486722133352,-3.8808309391989955,0.13268923797185983,0.13268923797185983,Shen2020
0,44.23565002492526,-3.930106833077458,0.11642447688750511,0.11642447688750511,Shen2020
0,44.560464737925585,-4.034783260256779,0.11761560375212075,0.11761560375212075,Shen2020
0,44.888854110764115,-4.293284735490284,0.14440953427778092,0.14440953427778092,Shen2020
0,45.22035315059766,-4.637035764102431,0.2142579419602575,0.2142579419602575,Shen2020
0,45.55451183165563,-5.34624851244699,0.4919699707718237,0.4919699707718237,Shen2020
0,45.8909117110342,-4.970258907184781,0.3770175452285687,0.3770175452285687,Shen2020
0,46.229176220039236,-5.256494553159881,0.22020996561173534,0.22020996561173534,Shen2020
0,46.56897539943528,-5.992254739826302,0.2043454344801463,0.2043454344801463,Shen2020
0,46.910026350032865,-6.727407109278196,0.21287485515025062,0.21287485515025062,Shen2020
0,47.25209076302602,-7.774287558196117,0.3799152276388609,0.3799152276388609,Shen2020
0,41.24991716740588,-2.264736595975375,0.3661430904189513,0.3661430904189513,Shen2020
0,41.526317840847454,-2.2715350830465564,0.17450619849498294,0.17450619849498294,Shen2020
0,41.80717734046684,-2.471762900810812,0.1241922966679083,0.1241922966679083,Shen2020
0,42.092818592746475,-2.6134461822432753,0.09921301764430755,0.09921301764430755,Shen2020
0,42.38350178107563,-2.8342775893275274,0.08977206643817091,0.08977206643817091,Shen2020
0,42.679401995923676,-3.151664017496269,0.09254635513833141,0.09254635513833141,Shen2020
0,42.98059052582104,-3.310957263447984,0.09101409579613072,0.09101409579613072,Shen2020
0,43.287023221306136,-3.47626007320488,0.09349476907967456,0.09349476907967456,Shen2020
0,43.59853866035385,-3.7382225740481987,0.11064370195505478,0.11064370195505478,Shen2020
0,43.91486722133352,-3.783468829138534,0.11949200554196991,0.11949200554196991,Shen2020
0,44.23565002492526,-3.860376482129068,0.1117627329092603,0.1117627329092603,Shen2020
0,44.560464737925585,-3.973234283146737,0.09172704316827683,0.09172704316827683,Shen2020
0,44.888854110764115,-4.159533843277257,0.09480029167463909,0.09480029167463909,Shen2020
0,45.22035315059766,-4.458544222257532,0.11655361525411599,0.11655361525411599,Shen2020
0,45.55451183165563,-4.8345722260294,0.17822810294084523,0.17822810294084523,Shen2020
0,45.8909117110342,-5.560050811394147,0.4390548456787118,0.4390548456787118,Shen2020
0,46.229176220039236,-5.730384588840107,0.6300662345447774,0.6300662345447774,Shen2020
0,46.56897539943528,-6.1205401499009,2.8536685980139334,2.8536685980139334,Shen2020
0,46.910026350032865,-6.124113433856139,0.8981460688254439,0.8981460688254439,Shen2020
0,47.25209076302602,-6.814837992500406,0.35176598061418596,0.35176598061418596,Shen2020
0,47.59497073203069,-7.404953090989537,0.37287670705951803,0.37287670705951803,Shen2020
0,39.92175368087171,-1.5948276539648982,2.1010276837923154,2.1010276837923154,Shen2020
0,40.18145484516228,-1.6748101815717509,0.9995813444562547,0.9995813444562547,Shen2020
0,40.4437598757577,-1.616818234594064,0.4970659023323608,0.4970659023323608,Shen2020
0,40.70902138091425,-1.9672748285187938,0.43217663450801846,0.43217663450801846,Shen2020
0,40.97761240726989,-1.9716782159868287,0.27292814506014706,0.27292814506014706,Shen2020
0,41.24991716740588,-2.143253765193944,0.2608017193936123,0.2608017193936123,Shen2020
0,41.526317840847454,-2.568481897441633,0.28247813667344457,0.28247813667344457,Shen2020
0,41.80717734046684,-2.7437666669769647,0.24905515556480573,0.24905515556480573,Shen2020
0,42.092818592746475,-2.851589432029772,0.2009367859853297,0.2009367859853297,Shen2020
0,42.38350178107563,-2.962471007779081,0.1908934890081886,0.1908934890081886,Shen2020
0,42.679401995923676,-3.040786528129505,0.18902255077947738,0.18902255077947738,Shen2020
0,42.98059052582104,-3.5045438212911857,0.25680930746312636,0.25680930746312636,Shen2020
0,43.287023221306136,-3.559296476348513,0.2568140321403929,0.2568140321403929,Shen2020
0,43.59853866035385,-3.992958309910368,0.34191574489281895,0.34191574489281895,Shen2020
0,43.91486722133352,-3.7640404012442183,0.19272534199100622,0.19272534199100622,Shen2020
0,44.23565002492526,-3.910492185396579,0.16458180703510306,0.16458180703510306,Shen2020
0,44.560464737925585,-3.8856850301288097,0.12921648068313485,0.12921648068313485,Shen2020
0,44.888854110764115,-4.41845058082723,0.1642632911696016,0.1642632911696016,Shen2020
0,45.22035315059766,-4.963583443023342,0.23538029104158187,0.23538029104158187,Shen2020
0,45.55451183165563,-4.989279334791114,0.2886779173210494,0.2886779173210494,Shen2020
0,45.8909117110342,-5.289718855201791,0.392538788657671,0.392538788657671,Shen2020
0,41.526317840847454,-2.685492408785458,0.8521241814183151,0.8521241814183151,Shen2020
0,41.80717734046684,-2.6440620881593033,0.2745430404187541,0.2745430404187541,Shen2020
0,42.092818592746475,-2.796230773425965,0.2148750616579993,0.2148750616579993,Shen2020
0,42.38350178107563,-3.0350950542639326,0.18434034454627302,0.18434034454627302,Shen2020
0,42.679401995923676,-3.167945563747576,0.14280162837018007,0.14280162837018007,Shen2020
0,42.98059052582104,-3.2123917861261932,0.11402393992646974,0.11402393992646974,Shen2020
0,43.287023221306136,-3.357379173907578,0.1103346352740222,0.1103346352740222,Shen2020
0,43.59853866035385,-3.6065872558697656,0.1293498731574143,0.1293498731574143,Shen2020
0,43.91486722133352,-3.9469022753230876,0.17380673919502176,0.17380673919502176,Shen2020
0,44.23565002492526,-3.9921897319971595,0.1538082497600215,0.1538082497600215,Shen2020
0,44.560464737925585,-4.062815220492829,0.13410124514254096,0.13410124514254096,Shen2020
0,44.888854110764115,-4.302975751820762,0.13599342617802024,0.13599342617802024,Shen2020
0,45.22035315059766,-4.52015951716581,0.13693792724568277,0.13693792724568277,Shen2020
0,45.55451183165563,-4.851901118938146,0.14284400079919046,0.14284400079919046,Shen2020
0,45.8909117110342,-5.358157828498778,0.17542957842249485,0.17542957842249485,Shen2020
0,46.229176220039236,-5.689652349421839,0.21754448251805258,0.21754448251805258,Shen2020
0,46.56897539943528,-6.0196316277167226,0.32482767967367976,0.32482767967367976,Shen2020
0,46.910026350032865,-6.1826514779246455,0.425889351805363,0.425889351805363,Shen2020
0,42.092818592746475,-3.0308860127368966,0.7041163699305277,0.7041163699305277,Shen2020
0,42.38350178107563,-2.8511899227363373,0.2436381020245455,0.2436381020245455,Shen2020
0,42.679401995923676,-2.986618913553727,0.1666136513652401,0.1666136513652401,Shen2020
0,42.98059052582104,-3.2105835337634647,0.13703658494240933,0.13703658494240933,Shen2020
0,43.287023221306136,-3.2279998625125517,0.10583464898182292,0.10583464898182292,Shen2020
0,43.59853866035385,-3.343440109204197,0.08703076265621411,0.08703076265621411,Shen2020
0,43.91486722133352,-3.6056875339598773,0.0920060787449357,0.0920060787449357,Shen2020
0,44.23565002492526,-3.7892795238807535,0.10296495201190424,0.10296495201190424,Shen2020
0,44.560464737925585,-3.888968204831329,0.11482984510158122,0.11482984510158122,Shen2020
0,44.888854110764115,-4.19433684279152,0.12785948436381367,0.12785948436381367,Shen2020
0,45.22035315059766,-4.442197999403901,0.12920036985246797,0.12920036985246797,Shen2020
0,45.55451183165563,-4.585294375318034,0.12870171974407785,0.12870171974407785,Shen2020
0,45.8909117110342,-5.090947286195891,0.1969105736604948,0.1969105736604948,Shen2020
0,46.229176220039236,-5.407469810477044,0.18988925136723478,0.18988925136723478,Shen2020
0,46.56897539943528,-6.030031774692199,0.2572985553275353,0.2572985553275353,Shen2020
0,46.910026350032865,-6.805715194397972,0.6488102798290913,0.6488102798290913,Shen2020
0,44.09398275607391,-3.88533135915379,0.3766371177530021,0.3766371177530021,Shen2020
0,44.417078357347805,-4.153317545357098,0.29479605159898714,0.29479605159898714,Shen2020
0,44.743952294542446,-4.358013120954588,0.22464470266498782,0.22464470266498782,Shen2020
0,45.07413986507224,-4.683291186736947,0.2071196818967176,0.2071196818967176,Shen2020
0,45.4071820305106,-5.165175120503384,0.26248703375162763,0.26248703375162763,Shen2020
0,45.742644818484706,-5.575102329102254,0.3106771974694771,0.3106771974694771,Shen2020
0,46.080132349658264,-5.803452591599078,0.31602210611728165,0.31602210611728165,Shen2020
0,43.44216009265495,-4.149212160258156,0.21898764024997863,0.21898764024997863,Shen2020
0,44.07472708315647,-4.166525784200771,0.1336909988190753,0.1336909988190753,Shen2020
0,44.724241765990584,-4.572291400392009,0.10403435111962776,0.10403435111962776,Shen2020
0,45.38712707928198,-5.06595128009394,0.09629001853342366,0.09629001853342366,Shen2020
0,46.05983262448907,-5.882244476965753,0.12473090931016649,0.12473090931016649,Shen2020
0,46.739360299450894,-6.283167055570985,0.12895849423758254,0.12895849423758254,Shen2020
0,43.510815735433454,-3.9349112304404814,0.09513085769747874,0.09513085769747874,Shen2020
0,43.81313874336833,-4.23782895798328,0.14483067438161545,0.14483067438161545,Shen2020
0,43.97229098659061,-3.9852021154557127,0.1096414608588072,0.1096414608588072,Shen2020
0,44.13253966798149,-4.2367775224443305,0.11142783006358291,0.11142783006358291,Shen2020
0,44.29383209499696,-4.303580790873552,0.09360799260282814,0.09360799260282814,Shen2020
0,44.45611282185203,-4.407739190014779,0.08905894402189028,0.08905894402189028,Shen2020
0,44.61932455645142,-4.552760369862044,0.08952895987845032,0.08952895987845032,Shen2020
0,44.78340903217823,-4.763062275742652,0.08403126772771884,0.08403126772771884,Shen2020
0,44.948307818741725,-4.864963809908995,0.08306401783911908,0.08306401783911908,Shen2020
0,45.113963052276645,-5.045538609316566,0.08468559493161919,0.08468559493161919,Shen2020
0,45.28031807124959,-5.18805759590251,0.08911495166733528,0.08911495166733528,Shen2020
0,45.44731795090272,-5.658907433678577,0.12029858981902451,0.12029858981902451,Shen2020
0,45.61490993451514,-5.5667661839101426,0.09804562952784023,0.09804562952784023,Shen2020
0,45.78304376439902,-5.877199731890077,0.11238677429550602,0.11238677429550602,Shen2020
0,45.95167191912818,-6.186614766623081,0.13490234829804248,0.13490234829804248,Shen2020
0,46.16139067114893,-6.729093518677226,0.16051499783199064,0.16051499783199064,Shen2020
0,46.37851658558906,-6.745232533585897,0.15446593702035627,0.15446593702035627,Shen2020
0,46.56897539943528,-6.962098079337807,0.14418043945530656,0.14418043945530656,Shen2020
0,46.94419075195738,-7.966779183024249,0.1834869193596067,0.1834869193596067,Shen2020
0,47.38915472085759,-8.439626990680054,0.38632743164939787,0.38632743164939787,Shen2020
0,43.10866020266187,-3.689746197898033,0.12092437480817807,0.12092437480817807,Shen2020
0,43.36133186001176,-3.5406360278841222,0.07627429841194865,0.07627429841194865,Shen2020
0,43.579708840090206,-3.58405173853736,0.08474083884291293,0.08474083884291293,Shen2020
0,43.73714968130931,-3.757711175940581,0.0856338376653245,0.0856338376653245,Shen2020
0,43.89575795960883,-3.7098512801769727,0.07533793367812901,0.07533793367812901,Shen2020
0,44.05548672223715,-3.910584895005381,0.0743333045637715,0.0743333045637715,Shen2020
0,44.21628492290443,-4.037034289810507,0.07999976569034793,0.07999976569034793,Shen2020
0,44.37809832315961,-4.243379697564302,0.08441390613677523,0.08441390613677523,Shen2020
0,44.54087040550559,-4.130076334540121,0.07091743483051015,0.07091743483051015,Shen2020
0,44.704543265613786,-4.343880975944384,0.08035660975896451,0.08035660975896451,Shen2020
0,44.90866095632312,-4.505794915688088,0.0762702922270335,0.0762702922270335,Shen2020
0,45.107323034936854,-4.904174299737276,0.12743462980443376,0.12743462980443376,Shen2020
0,45.32034125854347,-4.961601698779257,0.08306401783911864,0.08306401783911864,Shen2020
0,45.53439512740248,-5.156032738826169,0.11159239330816394,0.11159239330816394,Shen2020
0,45.70227497471829,-5.255869208006111,0.1029984749789634,0.1029984749789634,Shen2020
0,45.91115851645794,-5.573979820366495,0.10205013471612533,0.10205013471612533,Shen2020
0,46.22239486913817,-5.946061367400631,0.11520964391778697,0.11520964391778697,Shen2020
0,46.75300363028131,-6.804738583888803,0.19318115290370552,0.19318115290370552,Shen2020
0,47.19730095922957,-7.920408471263013,0.7666563730960398,0.7666563730960398,Shen2020
0,47.57437805473628,-8.78694256232619,0.3893364484938975,0.3893364484938975,Shen2020
0,48.02103362634985,-9.133037900190189,0.386811452125577,0.386811452125577,Shen2020
0,42.95023402655201,-3.6562687431734555,0.5065530069163711,0.5065530069163711,Shen2020
0,43.819483152790625,-4.276352307836115,0.5365085294462208,0.5365085294462208,Shen2020
0,44.49520091677378,-4.4716783175948605,0.5626847369707921,0.5626847369707921,Shen2020
0,44.95491988614076,-5.004608797232952,0.5471090813295694,0.5471090813295694,Shen2020
0,45.420556838340374,-5.4182046798463235,0.536506163753107,0.536506163753107,Shen2020
0,45.8909117110342,-6.120800538692949,0.47152344722288553,0.47152344722288553,Shen2020
0,46.398902742227946,-7.249360108343379,0.37980198866313697,0.37980198866313697,Shen2020
0,47.14937753187319,-8.315902321079246,0.37980139245908817,0.37980139245908817,Shen2020
0,43.819483152790625,-4.005502481792882,0.5736720087681888,0.5736720087681888,Shen2020
0,44.49520091677378,-4.533890968896053,0.5736668172372561,0.5736668172372561,Shen2020
0,44.95491988614076,-4.81559402106365,0.6335798209951895,0.6335798209951895,Shen2020
0,45.420556838340374,-5.468899206488641,0.6030227350956887,0.6030227350956887,Shen2020
0,45.8909117110342,-5.988393563393803,0.5948280679872482,0.5948280679872482,Shen2020
0,46.398902742227946,-6.745442965320506,0.562682415918472,0.562682415918472,Shen2020
0,47.14937753187319,-8.547625195323299,0.3798016241034532,0.3798016241034532,Shen2020
0,48.11047284640017,-9.076325235759164,0.36873138321478494,0.36873138321478494,Shen2020
0,42.9259867217484,-3.512715142239722,0.4715213423498845,0.4715213423498845,Shen2020
0,43.79411652720372,-3.7902623200253,0.5683164788450688,0.5683164788450688,Shen2020
0,44.69797978921969,-4.39634075471921,0.5365073621833811,0.5365073621833811,Shen2020
0,45.39381109049773,-5.1528093527102365,0.4715233621819459,0.4715233621819459,Shen2020
0,45.79651643558283,-5.325154653170036,0.5014724063884761,0.5014724063884761,Shen2020
0,46.20205451472271,-5.969085234059577,0.4483361598173745,0.4483361598173745,Shen2020
0,46.91685842925585,-7.0171203387681444,0.3798015633085845,0.3798015633085845,Shen2020
0,43.79411652720372,-3.6992588372528528,0.5204560931668667,0.5204560931668667,Shen2020
0,44.69797978921969,-4.3923985625538995,0.5710275768599111,0.5710275768599111,Shen2020
0,45.39381109049773,-4.952443342777902,0.5710268572033492,0.5710268572033492,Shen2020
0,45.79651643558283,-5.46952832621093,0.5247073809215632,0.5247073809215632,Shen2020
0,46.20205451472271,-6.152569929731848,0.5014712090810962,0.5014712090810962,Shen2020
0,46.91685842925585,-7.137206606781294,0.5504152381325487,0.5504152381325487,Shen2020
0,47.876625911599824,-9.630146446929519,0.36873124163388593,0.36873124163388593,Shen2020
0,42.97451501949699,-3.3434421493314255,0.5065519591587522,0.5065519591587522,Shen2020
