z,log10 M_star [M_sun],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,10.649999999999999,-2.45617081814464,0.0497277933663862,0.0550629074689435,Moustakas2013
0,10.75,-2.527360193604306,0.022385582086513978,0.01833473225118576,Moustakas2013
0,10.75,-2.52117187288381,0.0672286159053836,0.0676901482167098,Moustakas2013
0,10.75,-2.57919606462635,0.0549284708882918,0.0569560841247663,Moustakas2013
0,10.75,-2.58010095291891,0.0675471135401335,0.0701596267028837,Moustakas2013
0,10.850000000000001,-2.61968931960986,0.0848897875562056,0.0784898495624198,Moustakas2013
0,10.850000000000001,-2.66225650110318,0.0656865952794918,0.0775153399765571,Moustakas2013
0,10.850000000000001,-2.69764806429441,0.0494334955990738,0.0505389911262415,Moustakas2013
0,10.850000000000001,-2.6189547181971786,0.03128093310284674,0.028113323565699844,Moustakas2013
0,10.95,-2.73729209167133,0.0611419072939343,0.0646109373311377,Moustakas2013
0,10.95,-2.768336130343,0.064818609442348,0.0722995328969174,Moustakas2013
0,10.95,-2.7231673072211233,0.03679172955683807,0.030369089557630957,Moustakas2013
0,10.95,-2.76691912643198,0.0835586991951485,0.0915727682638989,Moustakas2013
0,11.05,-2.837420669495116,0.045367248467344634,0.029285238712365658,Moustakas2013
0,11.149999999999999,-3.0019046459368672,0.04966660074933715,0.031062972673939537,Moustakas2013
0,11.25,-3.184298998229978,0.053993341358730795,0.029351133015149244,Moustakas2013
0,11.350000000000001,-3.3705792461880923,0.07272718449744087,0.01849209913076244,Moustakas2013
0,11.45,-3.5931962919958838,0.09458565316633294,0.052696702910475235,Moustakas2013
0,11.55,-3.8464014643775974,0.10982424278580982,0.06207388563312177,Moustakas2013
0,11.649999999999999,-4.117390280385497,0.1918160342667381,0.08726062486966057,Moustakas2013
0,11.75,-4.485375316503807,0.24093067418785985,0.13743222774166863,Moustakas2013
0,11.850000000000001,-4.833443994762163,0.28844373325614026,0.14239357462237923,Moustakas2013
0,11.95,-5.18578295411069,0.3606584173572669,0.16193627656142962,Moustakas2013
0,12.05,-5.651008851385328,1.2551226675380036,0.2718857555575216,Moustakas2013
0,12.149999999999999,-5.9845519411674655,0.6430162610251591,0.17603573908566972,Moustakas2013
0,12.25,-6.83050516511988,999.0,0.7150012589789405,Moustakas2013
0,12.350000000000001,-6.913847914540942,999.0,0.4516481731602564,Moustakas2013
0,8.0,-1.37,0.07,0.06,Tomczak2014
0,8.25,-1.53,0.07,0.06,Tomczak2014
0,8.5,-1.71,0.08,0.07,Tomczak2014
0,8.75,-1.86,0.08,0.07,Tomczak2014
0,9.0,-2.03,0.09,0.08,Tomczak2014
0,9.25,-2.01,0.08,0.07,Tomczak2014
0,9.5,-2.1,0.09,0.07,Tomczak2014
0,9.75,-2.17,0.1,0.08,Tomczak2014
0,10.0,-2.24,0.1,0.08,Tomczak2014
0,10.25,-2.31,0.09,0.08,Tomczak2014
0,10.5,-2.41,0.1,0.08,Tomczak2014
0,10.75,-2.53,0.11,0.09,Tomczak2014
0,11.0,-2.91,0.15,0.11,Tomczak2014
0,11.25,-3.46,0.18,0.14,Tomczak2014
1,8.696,-1.897261,0.0104646,0.010218,Davidzon2017
1,8.899,-1.954308,0.0112525,0.010968,Davidzon2017
1,9.098,-1.986805,0.0116572,0.011352,Davidzon2017
1,9.296,-2.093038,0.0131115,0.012727,Davidzon2017
1,9.5,-2.169569,0.0143663,0.013906,Davidzon2017
1,9.695,-2.28867,0.0165372,0.015931,Davidzon2017
1,9.898,-2.386887,0.0185765,0.017814,Davidzon2017
1,10.101,-2.532613,0.0220962,0.021026,Davidzon2017
1,10.3,-2.586912,0.0235069,0.0223,Davidzon2017
1,10.496,-2.675814,0.0260658,0.02459,Davidzon2017
1,10.691,-2.875439,0.0331005,0.030755,Davidzon2017
1,10.891,-3.132294,0.0450859,0.040842,Davidzon2017
1,11.09,-3.449616,0.0671636,0.058154,Davidzon2017
1,11.285,-4.146806,0.1650885,0.119331,Davidzon2017
1,11.45,-4.845776,0.5332907,0.232261,Davidzon2017
1,8.738,-1.939435,0.0098432,0.009625,Davidzon2017
1,8.945,-2.009008,0.0094739,0.009272,Davidzon2017
1,9.157,-2.059925,0.0099415,0.009719,Davidzon2017
1,9.365,-2.137651,0.0108911,0.010625,Davidzon2017
1,9.578,-2.239279,0.012256,0.01192,Davidzon2017
1,9.788,-2.342369,0.0138345,0.013407,Davidzon2017
1,9.99,-2.463161,0.0159979,0.015429,Davidzon2017
1,10.208,-2.542295,0.017496,0.016818,Davidzon2017
1,10.42,-2.672767,0.0203818,0.019468,Davidzon2017
1,10.624,-2.795857,0.0235942,0.022378,Davidzon2017
1,10.829,-3.062317,0.0324846,0.030223,Davidzon2017
1,11.028,-3.401301,0.0507713,0.045452,Davidzon2017
1,11.235,-4.155118,0.1306866,0.100323,Davidzon2017
1,11.452,-4.548245,0.2301322,0.14963,Davidzon2017
1,8.752,-2.141307,0.0090207,0.008837,Davidzon2017
1,8.97,-2.144712,0.0082049,0.008053,Davidzon2017
1,9.193,-2.196285,0.0086844,0.008514,Davidzon2017
1,9.414,-2.26306,0.0093322,0.009136,Davidzon2017
1,9.641,-2.376546,0.0106227,0.010369,Davidzon2017
1,9.864,-2.460629,0.0117286,0.01142,Davidzon2017
1,10.089,-2.57595,0.013471,0.013066,Davidzon2017
1,10.313,-2.69447,0.0154625,0.014931,Davidzon2017
1,10.534,-2.806857,0.0178952,0.017187,Davidzon2017
1,10.759,-2.993976,0.0228248,0.021685,Davidzon2017
1,10.968,-3.313384,0.0335512,0.031144,Davidzon2017
1,11.184,-3.697548,0.0546886,0.048566,Davidzon2017
1,11.387,-4.354269,0.1167489,0.091921,Davidzon2017
1,11.623,-5.309893,0.5332907,0.232261,Davidzon2017
1,9.225,-2.11531,0.0631367,0.0769784,Ilbert2013
1,9.475,-2.20128,0.0630225,0.0327326,Ilbert2013
1,9.525,-2.32937,0.0715117,0.068052,Ilbert2013
1,9.725,-2.2965,0.088405,0.0604674,Ilbert2013
1,9.775,-2.40288,0.0499874,0.0583937,Ilbert2013
1,9.975,-2.39343,0.104157,0.0661319,Ilbert2013
1,10.025,-2.53109,0.0511434,0.0614226,Ilbert2013
1,10.225,-2.4432,0.112879,0.0719433,Ilbert2013
1,10.275,-2.61732,0.0267798,0.0365648,Ilbert2013
1,10.475,-2.50757,0.0760974,0.0562088,Ilbert2013
1,10.525,-2.65282,0.0634282,0.0467009,Ilbert2013
1,10.725,-2.60758,0.101048,0.0594651,Ilbert2013
1,10.775,-2.83973,0.0671506,0.0812844,Ilbert2013
1,10.975,-2.85713,0.075872,0.0987773,Ilbert2013
1,11.025,-3.13055,0.123615,0.136902,Ilbert2013
1,11.225,-3.23473,0.100196,0.150862,Ilbert2013
1,11.275,-3.65821,0.214852,0.218904,Ilbert2013
1,11.475,-3.88392,0.189851,0.202968,Ilbert2013
1,11.5,-4.44618,0.208933,0.174796,Ilbert2013
1,11.725,-4.78076,0.379963,0.421253,Ilbert2013
1,11.725,-5.39723,0.631225,0.386882,Ilbert2013
1,9.95,-2.33904706310518,0.0584137626198507,0.0658570224193018,Moustakas2013
1,10.05,-2.33490597927368,0.0449911420752085,0.0463454689077216,Moustakas2013
1,10.149999999999999,-2.35038642043665,0.0320168421252305,0.0376637431341096,Moustakas2013
1,10.25,-2.37290583035854,0.0355206751916008,0.0351864460910192,Moustakas2013
1,10.350000000000001,-2.3640552591419,0.0333093903757957,0.0339298691377428,Moustakas2013
1,10.350000000000001,-2.31000974857285,0.035906956901985,0.0337407828011682,Moustakas2013
1,10.45,-2.39186839312925,0.0275587493148302,0.027268509438068,Moustakas2013
1,10.45,-2.31941756137418,0.0452500864506082,0.0464272573064184,Moustakas2013
1,10.55,-2.43827666924889,0.028433634799391,0.0306627784421427,Moustakas2013
1,10.55,-2.36561199319242,0.0477463302216541,0.0455678755328037,Moustakas2013
1,10.649999999999999,-2.48411908042903,0.0297653959747688,0.0319447867768523,Moustakas2013
1,10.649999999999999,-2.42662002315323,0.0403146921412008,0.0405818902982369,Moustakas2013
1,10.75,-2.48206643785832,0.0466493643291099,0.0457778985770148,Moustakas2013
1,10.75,-2.56157316780962,0.0294800791572225,0.0318612220049204,Moustakas2013
1,10.75,-2.59594065753323,0.0565035629391186,0.0519363394644552,Moustakas2013
1,10.850000000000001,-2.66221404608482,0.0270039850712926,0.026898421567755,Moustakas2013
1,10.850000000000001,-2.58248775439201,0.0477630670461546,0.0478010194425051,Moustakas2013
1,10.850000000000001,-2.66292137678191,0.0419074390033631,0.0468476044863566,Moustakas2013
1,10.95,-2.80098112461869,0.0340436051198361,0.031988232139359,Moustakas2013
1,10.95,-2.73930227758799,0.0400353945876915,0.0397789760119069,Moustakas2013
1,10.95,-2.77340021423585,0.0447934306608868,0.0496784346794987,Moustakas2013
1,8.25,-1.53,0.07,0.06,Tomczak2014
1,8.5,-1.6,0.06,0.05,Tomczak2014
1,8.5,-1.7,0.06,0.05,Tomczak2014
1,8.75,-1.76,0.06,0.06,Tomczak2014
1,8.75,-1.86,0.06,0.05,Tomczak2014
1,8.75,-2.02,0.07,0.06,Tomczak2014
1,8.75,-1.99,0.06,0.06,Tomczak2014
1,9.0,-1.86,0.07,0.06,Tomczak2014
1,9.0,-2.14,0.07,0.06,Tomczak2014
1,9.0,-2.01,0.06,0.06,Tomczak2014
1,9.0,-2.14,0.07,0.06,Tomczak2014
1,9.25,-2.24,0.07,0.06,Tomczak2014
1,9.25,-2.0,0.07,0.06,Tomczak2014
1,9.25,-2.28,0.07,0.06,Tomczak2014
1,9.25,-2.1,0.07,0.06,Tomczak2014
1,9.5,-2.23,0.07,0.06,Tomczak2014
1,9.5,-2.29,0.07,0.06,Tomczak2014
1,9.5,-2.46,0.08,0.07,Tomczak2014
1,9.5,-2.12,0.08,0.07,Tomczak2014
1,9.75,-2.39,0.08,0.07,Tomczak2014
1,9.75,-2.21,0.07,0.06,Tomczak2014
1,9.75,-2.53,0.08,0.07,Tomczak2014
1,9.75,-2.48,0.08,0.07,Tomczak2014
1,10.0,-2.61,0.09,0.08,Tomczak2014
1,10.0,-2.59,0.09,0.08,Tomczak2014
1,10.0,-2.25,0.08,0.06,Tomczak2014
1,10.0,-2.45,0.09,0.07,Tomczak2014
1,10.25,-2.35,0.08,0.07,Tomczak2014
1,10.25,-2.68,0.09,0.08,Tomczak2014
1,10.25,-2.73,0.1,0.08,Tomczak2014
1,10.25,-2.45,0.09,0.07,Tomczak2014
1,10.5,-2.45,0.09,0.07,Tomczak2014
1,10.5,-2.71,0.09,0.08,Tomczak2014
1,10.5,-2.64,0.09,0.07,Tomczak2014
1,10.5,-2.52,0.09,0.08,Tomczak2014
1,10.75,-2.84,0.1,0.08,Tomczak2014
1,10.75,-2.72,0.1,0.08,Tomczak2014
1,10.75,-2.59,0.1,0.08,Tomczak2014
1,10.75,-2.55,0.09,0.08,Tomczak2014
1,11.0,-3.12,0.13,0.1,Tomczak2014
1,11.0,-2.93,0.13,0.1,Tomczak2014
1,11.0,-3.01,0.12,0.1,Tomczak2014
1,11.0,-2.82,0.11,0.09,Tomczak2014
1,11.25,-3.47,0.15,0.11,Tomczak2014
1,11.25,-3.65,0.16,0.12,Tomczak2014
1,11.25,-3.32,0.13,0.1,Tomczak2014
1,11.25,-3.62,0.15,0.11,Tomczak2014
1,11.5,-4.99,0.41,0.3,Tomczak2014
2,9.027,-2.281059,0.0085258,0.008362,Davidzon2017
2,9.239,-2.315658,0.0083794,0.008221,Davidzon2017
2,9.461,-2.377306,0.0089474,0.008767,Davidzon2017
2,9.679,-2.496754,0.0102791,0.010041,Davidzon2017
2,9.899,-2.580201,0.0113728,0.011083,Davidzon2017
2,10.118,-2.701592,0.0132636,0.01287,Davidzon2017
2,10.34,-2.817511,0.0150532,0.014549,Davidzon2017
2,10.559,-2.942049,0.0178822,0.017175,Davidzon2017
2,10.778,-3.16596,0.0234159,0.022218,Davidzon2017
2,10.992,-3.487459,0.03504,0.032423,Davidzon2017
2,11.209,-3.894172,0.0667894,0.057874,Davidzon2017
2,11.368,-4.762597,0.1650885,0.119331,Davidzon2017
2,11.669,-99.900002,-99.9000015,99.900002,Davidzon2017
2,9.314,-2.464155,0.0101285,0.009898,Davidzon2017
2,9.525,-2.54746,0.0109698,0.0107,Davidzon2017
2,9.739,-2.699289,0.0129338,0.01256,Davidzon2017
2,9.953,-2.870615,0.0160403,0.015469,Davidzon2017
2,10.17,-2.984104,0.0188688,0.018083,Davidzon2017
2,10.386,-3.09794,0.0213171,0.02032,Davidzon2017
2,10.599,-3.224817,0.0255329,0.024115,Davidzon2017
2,10.815,-3.427547,0.0338159,0.031372,Davidzon2017
2,11.012,-3.694367,0.0464956,0.041996,Davidzon2017
2,11.217,-4.153123,0.0824559,0.069271,Davidzon2017
2,11.424,-4.995534,0.2278605,0.148679,Davidzon2017
2,10.2,-2.75519,0.0411255,0.030475,Ilbert2013
2,10.4,-2.8117,0.0554878,0.0428205,Ilbert2013
2,10.475000000000001,-3.17675,0.156411,0.132037,Ilbert2013
2,10.625,-2.94649,0.0437439,0.0518297,Ilbert2013
2,10.65,-3.21854,0.118971,0.119521,Ilbert2013
2,10.825,-3.27035,0.0818992,0.089479,Ilbert2013
2,10.85,-3.09425,0.0926226,0.0934253,Ilbert2013
2,10.975000000000001,-3.48223,0.1595,0.158545,Ilbert2013
2,11.05,-3.35252,0.130357,0.135198,Ilbert2013
2,11.15,-3.77797,0.184783,0.192065,Ilbert2013
2,11.25,-3.80301,0.15044,0.155641,Ilbert2013
2,11.325,-4.14139,0.202445,0.176985,Ilbert2013
2,11.45,-4.41262,0.242742,0.22774,Ilbert2013
2,11.5,-4.71392,0.39749,0.343706,Ilbert2013
2,11.675,-5.51956,0.746836,0.496736,Ilbert2013
2,11.675,-5.38755,0.671696,0.299469,Ilbert2013
2,9.0,-2.2,0.06,0.05,Tomczak2014
2,9.25,-2.31,0.06,0.05,Tomczak2014
2,9.25,-2.53,0.07,0.06,Tomczak2014
2,9.5,-2.41,0.06,0.05,Tomczak2014
2,9.5,-2.5,0.07,0.06,Tomczak2014
2,9.75,-2.54,0.06,0.06,Tomczak2014
2,9.75,-2.63,0.07,0.06,Tomczak2014
2,10.0,-2.67,0.07,0.06,Tomczak2014
2,10.0,-2.74,0.08,0.07,Tomczak2014
2,10.25,-2.76,0.07,0.06,Tomczak2014
2,10.25,-2.91,0.09,0.08,Tomczak2014
2,10.5,-2.87,0.08,0.07,Tomczak2014
2,10.5,-3.07,0.1,0.09,Tomczak2014
2,10.75,-3.03,0.09,0.08,Tomczak2014
2,10.75,-3.35,0.13,0.1,Tomczak2014
2,11.0,-3.54,0.16,0.12,Tomczak2014
2,11.0,-3.13,0.1,0.08,Tomczak2014
2,11.25,-3.89,0.17,0.12,Tomczak2014
2,11.25,-3.56,0.13,0.1,Tomczak2014
2,11.5,-4.27,0.15,0.12,Tomczak2014
2,11.5,-4.41,0.19,0.14,Tomczak2014
3,9.442,-2.545387,0.0105342,0.010285,Davidzon2017
3,9.658,-2.654044,0.0118685,0.011553,Davidzon2017
3,9.885,-2.844678,0.0148328,0.014343,Davidzon2017
3,10.113,-3.066769,0.0192494,0.018432,Davidzon2017
3,10.33,-3.216339,0.0229639,0.02181,Davidzon2017
3,10.555,-3.425325,0.0294264,0.027558,Davidzon2017
3,10.788,-3.65596,0.0387858,0.035604,Davidzon2017
3,11.002,-3.986501,0.0579919,0.051152,Davidzon2017
3,11.232,-4.513927,0.1131799,0.089699,Davidzon2017
3,11.499,-5.190621,0.30103,0.176091,Davidzon2017
3,9.599,-2.760531,0.0134612,0.013057,Davidzon2017
3,9.835,-2.945175,0.0166967,0.016078,Davidzon2017
3,10.054,-3.160727,0.0215167,0.020501,Davidzon2017
3,10.286,-3.360807,0.0272688,0.025657,Davidzon2017
3,10.517,-3.688367,0.0403556,0.036922,Davidzon2017
3,10.743,-3.953322,0.0557078,0.049368,Davidzon2017
3,10.988,-4.394231,0.09691,0.079181,Davidzon2017
3,11.186,-4.588051,0.1249387,0.09691,Davidzon2017
3,11.444,-5.792171,999.9000244,0.30103,Davidzon2017
3,10.975000000000001,-4.28695,0.199554,0.144672,Ilbert2013
3,11.125,-4.49629,0.279347,0.279051,Ilbert2013
3,11.3,-4.75243,0.177952,0.200988,Ilbert2013
3,11.475000000000001,-5.05828,0.203742,0.191841,Ilbert2013
3,11.65,-5.26849,0.421101,0.430702,Ilbert2013
3,11.875,-5.87583,999.878,0.345876,Ilbert2013
3,9.5,-2.65,0.07,0.06,Tomczak2014
3,9.75,-2.78,0.08,0.07,Tomczak2014
3,10.0,-3.02,0.09,0.08,Tomczak2014
3,10.25,-3.21,0.1,0.09,Tomczak2014
3,10.5,-3.35,0.13,0.1,Tomczak2014
3,10.75,-3.74,0.17,0.13,Tomczak2014
3,11.0,-4.0,0.25,0.18,Tomczak2014
3,11.25,-4.14,0.28,0.17,Tomczak2014
3,11.5,-4.73,2.0,0.31,Tomczak2014
4,9.745,-3.070224,0.0199235,0.019049,Davidzon2017
4,9.991,-3.340488,0.0266639,0.025121,Davidzon2017
4,10.227,-3.552691,0.0343415,0.031824,Davidzon2017
4,10.47,-3.856239,0.0495537,0.044474,Davidzon2017
4,10.702,-4.137525,0.0701068,0.060347,Davidzon2017
4,10.929,-4.614646,0.1297125,0.099749,Davidzon2017
4,11.145,-5.188677,0.30103,0.176091,Davidzon2017
4,11.375,-5.790737,999.9000244,0.30103,Davidzon2017
4,8.625,-1.7619538968712045,0.0972239230194849,0.0818923368515132,Duncan2014
4,8.875,-1.9065783148377649,0.07016922552852356,0.06039317918229381,Duncan2014
4,9.125,-2.114638779968488,0.04853093354263338,0.04497641570621802,Duncan2014
4,9.375,-2.3716110699496884,0.04451033155168549,0.04055580440742235,Duncan2014
4,9.625,-2.6090648928966207,0.049105050182868926,0.04443139950928199,Duncan2014
4,9.875,-2.962573502059376,0.07222479691471184,0.060177830933787035,Duncan2014
4,10.125,-3.216096420727265,0.09017663034908807,0.07342891715853339,Duncan2014
4,10.375,-3.4723700991286615,0.1640179209791941,0.10985982864117227,Duncan2014
4,10.625,-4.09312646527793,0.3481649641889044,0.19177019109498694,Duncan2014
4,10.875,-4.465973893943865,0.9005576504765491,0.27350892201271826,Duncan2014
4,11.125,-7.013676222949234,2.9863237770507904,2.228437970987608,Duncan2014
4,11.375,-20.45345733652187,2.546542663478135,16.781836939960606,Duncan2014
4,7.45,-1.43989893150499,0.240368830450726,0.260541171274177,Song2016
4,7.825,-1.63624903150499,0.225165827338566,0.220092042674514,Song2016
4,8.2,-1.86535483150499,0.183722200678967,0.195484772380163,Song2016
4,8.575,-2.10615390025157,0.179465330768431,0.173947494403656,Song2016
4,9.0,-2.5228214,0.177125193719685,0.176536304900075,Song2016
4,9.5,-2.9076413,0.164473394625773,0.191060529248521,Song2016
4,10.0,-3.3745522,0.203999513630136,0.17681504153403,Song2016
4,10.5,-3.995775,0.311343330388755,0.251184865623553,Song2016
4,11.0,-4.5353273,0.778259553475163,0.381550948312511,Song2016
5,8.719,-2.0021769192542744,0.2527482891636681,0.14268496229245398,Duncan2014
5,9.031,-2.3575354797578787,0.15110282640784867,0.10727179532693976,Duncan2014
5,9.344,-2.623423042943488,0.148947307485503,0.10543861939419985,Duncan2014
5,9.656,-2.8632794328435933,0.13068261215908938,0.09576729919657945,Duncan2014
5,9.969,-2.987162775294828,0.23978253134090943,0.11199292470868727,Duncan2014
5,10.281,-3.381951903287907,0.258212614372205,0.14237438671111935,Duncan2014
5,10.594,-3.906578314837765,0.2289106041038429,0.14911974313614929,Duncan2014
5,10.906,-4.4156687756324695,0.6705173719838138,0.2538879975400956,Duncan2014
5,11.219,-5.2644011003018205,2.735598899698183,0.6306372240201137,Duncan2014
5,7.35,-1.37586378699194,0.3190107793326,0.315321356772915,Song2016
5,7.75,-1.62225098699194,0.316094828185558,0.284757208054621,Song2016
5,8.15,-1.90918948699194,0.294301326575286,0.262889531757278,Song2016
5,8.55,-2.24926854102575,0.224342501641666,0.244727149907088,Song2016
5,9.0,-2.6790163,0.24478951141069,0.210585058724581,Song2016
5,9.5,-3.1160918,0.235841810858551,0.219569198760053,Song2016
